Title,Release Date,Language,Runtime,Revenue,Budget,Genre,Year,Month,Day,User rating,Rated,Profit
Trainspotting,1996-02-23,en,93.0,16491080,4000000,Drama,1996,2,23,8.1,R,31965843
Paranormal Activity 2,2010-10-20,en,91.0,177512032,3000000,Horror,2010,10,20,5.6,R,2323044
Bowling for Columbine,2002-10-09,en,120.0,35564473,4000000,Documentary,2002,10,9,7.9,R,659678
A Nightmare on Elm Street Part 2: Freddy's Revenge,1985-10-31,en,87.0,29999213,3000000,Horror,1985,10,31,No Rating,No Rating,27663038
A Room with a View,1985-12-13,en,117.0,20966644,3000000,Drama,1985,12,13,7.3,Not Rated,119392239
The Purge,2013-05-31,en,86.0,89328627,3000000,Science,2013,5,31,5.7,R,16004039
Sinister,2012-03-29,en,110.0,77712439,3000000,Horror,2012,3,29,6.8,R,830137
Martin Lawrence Live: Runteldat,2002-08-01,en,113.0,19184015,3000000,Comedy,2002,8,1,5.4,R,9792000
Beneath the Planet of the Apes,1970-05-01,en,95.0,18999718,3000000,Adventure,1970,5,1,6.1,G,27341770
Air Bud,1997-08-01,en,98.0,23144499,3000000,Comedy,1997,8,1,5.2,PG,13000000
Pokémon 3: The Movie,2000-07-08,ja,93.0,68411275,16000000,Adventure,2000,7,8,5.9,G,30195426
Friday the 13th Part VI: Jason Lives,1986-08-01,en,86.0,19472057,3000000,Horror,1986,8,1,6.0,R,4800000
Spaced Invaders,1990-04-27,en,100.0,15369573,3000000,Comedy,1990,4,27,5.3,PG,2132926
Family Plot,1976-04-09,en,121.0,7900000,2000000,Comedy,1976,4,9,6.8,PG,138300000
The Apartment,1960-06-15,en,125.0,25000000,3000000,Comedy,1960,6,15,8.3,Not Rated,122381062
Jason Goes to Hell: The Final Friday,1993-08-13,en,87.0,15938065,3000000,Fantasy,1993,8,13,4.2,R,6464124
Torn Curtain,1966-07-13,en,128.0,13000000,3000000,Mystery,1966,7,13,6.7,PG,12491080
