Title,Release Date,Language,Runtime,Revenue,Budget,Genre,Year,Month,Day,User rating,Rated,Profit
Avatar,2009-12-10,en,162.0,2787965087,237000000,Action,2009,12,10,7.8,PG-13,2550965087
Pirates of the Caribbean: At World's End,2007-05-19,en,169.0,961000000,300000000,Adventure,2007,5,19,7.1,PG-13,661000000
Spectre,2015-10-26,en,148.0,880674609,245000000,Action,2015,10,26,6.8,PG-13,635674609
The Dark Knight Rises,2012-07-16,en,165.0,1084939099,250000000,Action,2012,7,16,8.4,PG-13,834939099
John Carter,2012-03-07,en,132.0,284139100,260000000,Action,2012,3,7,6.6,PG-13,24139100
Spider-Man 3,2007-05-01,en,139.0,890871626,258000000,Fantasy,2007,5,1,6.2,PG-13,632871626
Tangled,2010-11-24,en,100.0,591794936,260000000,Animation,2010,11,24,7.7,PG,331794936
Avengers: Age of Ultron,2015-04-22,en,141.0,1405403694,280000000,Action,2015,4,22,7.3,PG-13,1125403694
Harry Potter and the Half-Blood Prince,2009-07-07,en,153.0,933959197,250000000,Adventure,2009,7,7,7.6,PG,683959197
Batman v Superman: Dawn of Justice,2016-03-23,en,151.0,873260194,250000000,Action,2016,3,23,6.5,PG-13,623260194
Superman Returns,2006-06-28,en,154.0,391081192,270000000,Adventure,2006,6,28,6.0,PG-13,121081192
Quantum of Solace,2008-10-30,en,106.0,586090727,200000000,Adventure,2008,10,30,6.6,PG-13,386090727
Pirates of the Caribbean: Dead Man's Chest,2006-06-20,en,151.0,1065659812,200000000,Adventure,2006,6,20,7.3,PG-13,865659812
The Lone Ranger,2013-07-03,en,149.0,89289910,255000000,Action,2013,7,3,6.4,PG-13,-165710090
Man of Steel,2013-06-12,en,143.0,662845518,225000000,Action,2013,6,12,7.0,PG-13,437845518
The Chronicles of Narnia: Prince Caspian,2008-05-15,en,150.0,419651413,225000000,Adventure,2008,5,15,6.5,PG,194651413
The Avengers,2012-04-25,en,143.0,1519557910,220000000,Science,2012,4,25,8.0,PG-13,1299557910
Pirates of the Caribbean: On Stranger Tides,2011-05-14,en,136.0,1045713802,380000000,Adventure,2011,5,14,6.6,PG-13,665713802
Men in Black 3,2012-05-23,en,106.0,624026776,225000000,Action,2012,5,23,6.8,PG-13,399026776
The Hobbit: The Battle of the Five Armies,2014-12-10,en,144.0,956019788,250000000,Action,2014,12,10,7.4,PG-13,706019788
The Amazing Spider-Man,2012-06-27,en,136.0,752215857,215000000,Action,2012,6,27,6.9,PG-13,537215857
Robin Hood,2010-05-12,en,140.0,310669540,200000000,Action,2010,5,12,6.6,PG-13,110669540
The Hobbit: The Desolation of Smaug,2013-12-11,en,161.0,958400000,250000000,Adventure,2013,12,11,7.8,PG-13,708400000
The Golden Compass,2007-12-04,en,113.0,372234864,180000000,Adventure,2007,12,4,6.1,PG-13,192234864
King Kong,2005-12-14,en,187.0,550000000,207000000,Adventure,2005,12,14,7.2,PG-13,343000000
Titanic,1997-11-18,en,194.0,1845034188,200000000,Drama,1997,11,18,7.8,PG-13,1645034188
Captain America: Civil War,2016-04-27,en,147.0,1153304495,250000000,Adventure,2016,4,27,7.8,PG-13,903304495
Battleship,2012-04-11,en,131.0,303025485,209000000,Thriller,2012,4,11,5.8,PG-13,94025485
Jurassic World,2015-06-09,en,124.0,1513528810,150000000,Action,2015,6,9,7.0,PG-13,1363528810
Skyfall,2012-10-25,en,143.0,1108561013,200000000,Action,2012,10,25,7.7,PG-13,908561013
Spider-Man 2,2004-06-25,en,127.0,783766341,200000000,Action,2004,6,25,7.3,PG-13,583766341
Iron Man 3,2013-04-18,en,130.0,1215439994,200000000,Action,2013,4,18,7.2,PG-13,1015439994
Alice in Wonderland,2010-03-03,en,108.0,1025491110,200000000,Family,2010,3,3,6.4,PG,825491110
X-Men: The Last Stand,2006-05-24,en,104.0,459359555,210000000,Adventure,2006,5,24,6.7,PG-13,249359555
Monsters University,2013-06-20,en,104.0,743559607,200000000,Animation,2013,6,20,7.3,G,543559607
Transformers: Revenge of the Fallen,2009-06-19,en,150.0,836297228,150000000,Science,2009,6,19,6.0,PG-13,686297228
Transformers: Age of Extinction,2014-06-25,en,165.0,1091405097,210000000,Science,2014,6,25,5.6,PG-13,881405097
Oz: The Great and Powerful,2013-03-07,en,130.0,491868548,200000000,Fantasy,2013,3,7,6.3,PG,291868548
The Amazing Spider-Man 2,2014-04-16,en,142.0,705717432,200000000,Action,2014,4,16,6.6,PG-13,505717432
TRON: Legacy,2010-12-10,en,125.0,400062763,170000000,Adventure,2010,12,10,6.8,PG,230062763
Cars 2,2011-06-11,en,106.0,559852396,200000000,Animation,2011,6,11,6.1,G,359852396
Green Lantern,2011-06-16,en,114.0,219851172,200000000,Adventure,2011,6,16,5.5,PG-13,19851172
Toy Story 3,2010-06-16,en,103.0,1066969703,200000000,Animation,2010,6,16,8.3,G,866969703
Terminator Salvation,2009-05-20,en,115.0,371353001,200000000,Action,2009,5,20,6.5,PG-13,171353001
Furious 7,2015-04-01,en,137.0,1506249360,190000000,Action,2015,4,1,7.1,PG-13,1316249360
World War Z,2013-06-20,en,116.0,531865000,200000000,Action,2013,6,20,7.0,PG-13,331865000
X-Men: Days of Future Past,2014-05-15,en,131.0,747862775,250000000,Action,2014,5,15,8.0,PG-13,497862775
Star Trek Into Darkness,2013-05-05,en,132.0,467365246,190000000,Action,2013,5,5,7.7,PG-13,277365246
Jack the Giant Slayer,2013-02-27,en,114.0,197687603,195000000,Action,2013,2,27,6.2,PG-13,2687603
The Great Gatsby,2013-05-10,en,143.0,351040419,105000000,Drama,2013,5,10,7.2,PG-13,246040419
Prince of Persia: The Sands of Time,2010-05-19,en,116.0,335154643,150000000,Adventure,2010,5,19,6.6,PG-13,185154643
Pacific Rim,2013-07-11,en,131.0,407602906,180000000,Action,2013,7,11,6.9,PG-13,227602906
Transformers: Dark of the Moon,2011-06-28,en,154.0,1123746996,195000000,Action,2011,6,28,6.2,PG-13,928746996
Indiana Jones and the Kingdom of the Crystal Skull,2008-05-21,en,122.0,786636033,185000000,Adventure,2008,5,21,6.1,PG-13,601636033
The Good Dinosaur,2015-11-14,en,93.0,331926147,175000000,Adventure,2015,11,14,6.7,PG,156926147
Brave,2012-06-21,en,93.0,538983207,185000000,Animation,2012,6,21,7.1,PG,353983207
Star Trek Beyond,2016-07-07,en,122.0,343471816,185000000,Action,2016,7,7,7.1,PG-13,158471816
WALL·E,2008-06-22,en,98.0,521311860,180000000,Animation,2008,6,22,8.4,G,341311860
Rush Hour 3,2007-08-08,en,91.0,258022233,140000000,Action,2007,8,8,6.2,PG-13,118022233
2012,2009-10-10,en,158.0,769653595,200000000,Action,2009,10,10,5.8,PG-13,569653595
A Christmas Carol,2009-11-04,en,96.0,325233863,200000000,Animation,2009,11,4,6.8,PG,125233863
Jupiter Ascending,2015-02-04,en,124.0,183987723,176000003,Science,2015,2,4,5.3,PG-13,7987720
The Legend of Tarzan,2016-06-29,en,109.0,356743061,180000000,Action,2016,6,29,6.2,PG-13,176743061
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005-12-07,en,143.0,748806957,180000000,Adventure,2005,12,7,6.9,PG,568806957
X-Men: Apocalypse,2016-05-18,en,144.0,543934787,178000000,Science,2016,5,18,6.9,PG-13,365934787
The Dark Knight,2008-07-16,en,152.0,1004558444,185000000,Drama,2008,7,16,9.0,PG-13,819558444
Up,2009-05-13,en,96.0,735099082,175000000,Animation,2009,5,13,8.2,PG,560099082
Monsters vs Aliens,2009-03-19,en,94.0,381509870,175000000,Animation,2009,3,19,6.4,TV-PG,206509870
Iron Man,2008-04-30,en,126.0,585174222,140000000,Action,2008,4,30,7.9,PG-13,445174222
Hugo,2011-11-22,en,126.0,185770160,170000000,Adventure,2011,11,22,7.5,PG,15770160
Wild Wild West,1999-06-29,en,106.0,222104681,170000000,Action,1999,6,29,4.9,PG-13,52104681
The Mummy: Tomb of the Dragon Emperor,2008-07-01,en,112.0,401128639,145000000,Adventure,2008,7,1,5.2,PG-13,256128639
Suicide Squad,2016-08-02,en,123.0,745000000,175000000,Action,2016,8,2,6.0,PG-13,570000000
Evan Almighty,2007-06-09,en,96.0,173000000,175000000,Fantasy,2007,6,9,5.4,PG,-2000000
Edge of Tomorrow,2014-05-27,en,113.0,370541256,178000000,Action,2014,5,27,7.9,PG-13,192541256
Waterworld,1995-07-28,en,135.0,264218220,175000000,Adventure,1995,7,28,6.2,PG-13,89218220
G.I. Joe: The Rise of Cobra,2009-08-04,en,118.0,302469017,175000000,Adventure,2009,8,4,5.8,PG-13,127469017
Inside Out,2015-06-09,en,94.0,857611174,175000000,Drama,2015,6,9,8.1,PG,682611174
The Jungle Book,2016-04-07,en,106.0,966550600,175000000,Family,2016,4,7,7.4,PG,791550600
Iron Man 2,2010-04-28,en,124.0,623933331,200000000,Adventure,2010,4,28,7.0,PG-13,423933331
Snow White and the Huntsman,2012-05-30,en,127.0,396600000,170000000,Adventure,2012,5,30,6.1,PG-13,226600000
Maleficent,2014-05-28,en,97.0,758539785,180000000,Fantasy,2014,5,28,7.0,PG,578539785
Dawn of the Planet of the Apes,2014-06-26,en,130.0,710644566,170000000,Science,2014,6,26,7.6,PG-13,540644566
47 Ronin,2013-12-06,en,119.0,150962475,175000000,Drama,2013,12,6,6.3,PG-13,-24037525
Captain America: The Winter Soldier,2014-03-20,en,136.0,714766572,170000000,Action,2014,3,20,7.7,PG-13,544766572
Shrek Forever After,2010-05-16,en,93.0,752600867,165000000,Comedy,2010,5,16,6.3,PG,587600867
Tomorrowland,2015-05-19,en,130.0,209154322,190000000,Adventure,2015,5,19,6.4,PG,19154322
Big Hero 6,2014-10-24,en,102.0,652105443,165000000,Adventure,2014,10,24,7.8,PG,487105443
Wreck-It Ralph,2012-11-01,en,108.0,471222889,165000000,Family,2012,11,1,7.7,PG,306222889
The Polar Express,2004-11-10,en,100.0,305875730,165000000,Adventure,2004,11,10,6.6,G,140875730
Independence Day: Resurgence,2016-06-22,en,120.0,389681935,165000000,Action,2016,6,22,5.2,PG-13,224681935
How to Train Your Dragon,2010-03-05,en,98.0,494878759,165000000,Fantasy,2010,3,5,8.1,PG,329878759
Terminator 3: Rise of the Machines,2003-07-02,en,109.0,435000000,200000000,Action,2003,7,2,6.3,R,235000000
Guardians of the Galaxy,2014-07-30,en,121.0,773328629,170000000,Action,2014,7,30,8.0,PG-13,603328629
Interstellar,2014-11-05,en,169.0,675120017,165000000,Adventure,2014,11,5,8.6,PG-13,510120017
Inception,2010-07-14,en,148.0,825532764,160000000,Action,2010,7,14,8.8,PG-13,665532764
シン・ゴジラ,2016-07-29,ja,120.0,77000000,15000000,Action,2016,7,29,No Rating,No Rating,62000000
The Hobbit: An Unexpected Journey,2012-11-26,en,169.0,1021103568,250000000,Adventure,2012,11,26,7.8,PG-13,771103568
The Fast and the Furious,2001-06-22,en,106.0,207283925,38000000,Action,2001,6,22,6.8,PG-13,169283925
The Curious Case of Benjamin Button,2008-11-24,en,166.0,333932083,150000000,Fantasy,2008,11,24,7.8,PG-13,183932083
X-Men: First Class,2011-05-24,en,132.0,353624124,160000000,Action,2011,5,24,7.7,PG-13,193624124
The Hunger Games: Mockingjay - Part 2,2015-11-18,en,137.0,653428261,160000000,Action,2015,11,18,6.5,PG-13,493428261
The Sorcerer's Apprentice,2010-07-13,en,109.0,215283742,150000000,Fantasy,2010,7,13,6.1,PG,65283742
Poseidon,2006-05-12,en,99.0,181674817,160000000,Adventure,2006,5,12,5.7,PG-13,21674817
Alice Through the Looking Glass,2016-05-25,en,113.0,299370084,170000000,Fantasy,2016,5,25,6.2,PG,129370084
Shrek the Third,2007-05-17,en,93.0,798958165,160000000,Fantasy,2007,5,17,6.1,PG,638958165
Warcraft,2016-05-25,en,123.0,433677183,160000000,Action,2016,5,25,6.8,PG-13,273677183
Terminator Genisys,2015-06-23,en,126.0,440603537,155000000,Science,2015,6,23,6.4,PG-13,285603537
The Chronicles of Narnia: The Voyage of the Dawn Treader,2010-08-13,en,113.0,415686217,155000000,Adventure,2010,8,13,6.3,PG,260686217
Pearl Harbor,2001-05-21,en,183.0,449220945,140000000,History,2001,5,21,6.2,PG-13,309220945
Transformers,2007-06-27,en,144.0,709709780,150000000,Adventure,2007,6,27,7.0,PG-13,559709780
Alexander,2004-11-21,en,175.0,167298192,155000000,War,2004,11,21,5.6,R,12298192
Harry Potter and the Order of the Phoenix,2007-06-28,en,138.0,938212738,150000000,Adventure,2007,6,28,7.5,PG-13,788212738
Harry Potter and the Goblet of Fire,2005-11-05,en,157.0,895921036,150000000,Adventure,2005,11,5,7.7,PG-13,745921036
Hancock,2008-07-01,en,92.0,624029371,150000000,Fantasy,2008,7,1,6.4,PG-13,474029371
I Am Legend,2007-12-14,en,101.0,585349010,150000000,Drama,2007,12,14,7.2,PG-13,435349010
Charlie and the Chocolate Factory,2005-07-13,en,115.0,474968763,150000000,Adventure,2005,7,13,6.6,PG,324968763
Ratatouille,2007-06-22,en,111.0,623722818,150000000,Animation,2007,6,22,8.0,G,473722818
Batman Begins,2005-06-10,en,140.0,374218673,150000000,Action,2005,6,10,8.2,PG-13,224218673
Madagascar: Escape 2 Africa,2008-10-30,en,89.0,603900354,150000000,Family,2008,10,30,6.6,PG,453900354
Night at the Museum: Battle of the Smithsonian,2009-05-20,en,105.0,413106170,150000000,Adventure,2009,5,20,6.0,PG,263106170
X-Men Origins: Wolverine,2009-04-28,en,107.0,373062864,150000000,Adventure,2009,4,28,6.6,PG-13,223062864
The Matrix Revolutions,2003-11-05,en,129.0,424988211,150000000,Adventure,2003,11,5,6.8,R,274988211
Frozen,2013-11-27,en,102.0,1274219009,150000000,Animation,2013,11,27,7.4,PG,1124219009
The Matrix Reloaded,2003-05-15,en,138.0,738599701,150000000,Adventure,2003,5,15,7.2,R,588599701
Thor: The Dark World,2013-10-29,en,112.0,644571402,170000000,Action,2013,10,29,6.9,PG-13,474571402
Mad Max: Fury Road,2015-05-13,en,120.0,378858340,150000000,Action,2015,5,13,8.1,R,228858340
Angels & Demons,2009-05-13,en,138.0,356613439,150000000,Thriller,2009,5,13,6.7,PG-13,206613439
Thor,2011-04-21,en,115.0,449326618,150000000,Adventure,2011,4,21,7.0,PG-13,299326618
Bolt,2008-11-21,en,98.0,309979994,150000000,Animation,2008,11,21,6.8,PG,159979994
G-Force,2009-07-21,en,88.0,292817841,150000000,Fantasy,2009,7,21,5.1,PG,142817841
Wrath of the Titans,2012-03-27,en,99.0,301000000,150000000,Adventure,2012,3,27,5.7,PG-13,151000000
Dark Shadows,2012-05-08,en,113.0,245527149,150000000,Comedy,2012,5,8,6.2,PG-13,95527149
Mission: Impossible - Rogue Nation,2015-07-23,en,131.0,682330139,150000000,Action,2015,7,23,7.4,PG-13,532330139
Bee Movie,2007-10-28,en,91.0,287594577,150000000,Family,2007,10,28,6.1,PG,137594577
Kung Fu Panda 2,2011-05-25,en,91.0,665692281,150000000,Animation,2011,5,25,7.2,PG,515692281
The Last Airbender,2010-06-30,en,103.0,318502923,150000000,Action,2010,6,30,4.1,PG,168502923
Mission: Impossible III,2006-05-03,en,126.0,397850012,150000000,Adventure,2006,5,3,6.9,PG-13,247850012
White House Down,2013-06-27,en,131.0,205366737,150000000,Action,2013,6,27,6.4,PG-13,55366737
Mars Needs Moms,2011-03-09,en,88.0,38992758,150000000,Adventure,2011,3,9,5.4,PG,-111007242
Flushed Away,2006-10-22,en,85.0,64459316,149000000,Adventure,2006,10,22,6.6,PG,-84540684
Pan,2015-09-24,en,111.0,128388320,150000000,Adventure,2015,9,24,5.7,PG,-21611680
Mr. Peabody & Sherman,2014-02-07,en,92.0,272912430,145000000,Animation,2014,2,7,6.8,PG,127912430
Troy,2004-05-13,en,163.0,497409852,175000000,Adventure,2004,5,13,7.2,R,322409852
Madagascar 3: Europe's Most Wanted,2012-06-06,en,93.0,746921274,145000000,Animation,2012,6,6,6.8,PG,601921274
Die Another Day,2002-11-17,en,133.0,431971116,140000000,Adventure,2002,11,17,6.1,PG-13,291971116
Ghostbusters,2016-07-14,en,116.0,229147509,144000000,Action,2016,7,14,7.8,PG,85147509
Armageddon,1998-07-01,en,151.0,553799566,140000000,Action,1998,7,1,6.7,PG-13,413799566
Men in Black II,2002-07-03,en,88.0,441818803,140000000,Action,2002,7,3,6.2,PG-13,301818803
Beowulf,2007-11-05,en,115.0,195735876,70000000,Adventure,2007,11,5,6.2,PG-13,125735876
Kung Fu Panda 3,2016-01-23,en,95.0,521170825,145000000,Action,2016,1,23,7.1,PG,376170825
Mission: Impossible - Ghost Protocol,2011-12-07,en,133.0,694713380,145000000,Action,2011,12,7,7.4,PG-13,549713380
Rise of the Guardians,2012-11-21,en,97.0,306941670,145000000,Fantasy,2012,11,21,7.3,PG,161941670
Fun with Dick and Jane,2005-12-21,en,90.0,202026112,100000000,Comedy,2005,12,21,6.2,PG-13,102026112
The Last Samurai,2003-12-05,en,154.0,456758981,140000000,Drama,2003,12,5,7.7,R,316758981
Exodus: Gods and Kings,2014-12-03,en,150.0,268031828,140000000,Adventure,2014,12,3,6.0,PG-13,128031828
Star Trek,2009-05-06,en,127.0,385680446,150000000,Science,2009,5,6,7.9,PG-13,235680446
Spider-Man,2002-05-01,en,121.0,821708551,139000000,Fantasy,2002,5,1,7.3,PG-13,682708551
How to Train Your Dragon 2,2014-06-12,en,102.0,609123048,145000000,Fantasy,2014,6,12,7.8,PG,464123048
Gods of Egypt,2016-02-25,en,127.0,150680864,140000000,Fantasy,2016,2,25,5.4,PG-13,10680864
Stealth,2005-07-28,en,121.0,76932943,135000000,Action,2005,7,28,5.1,PG-13,-58067057
Watchmen,2009-03-05,en,163.0,185258983,130000000,Action,2009,3,5,7.6,R,55258983
Lethal Weapon 4,1998-07-10,en,127.0,285444603,140000000,Action,1998,7,10,6.6,R,145444603
Hulk,2003-06-19,en,138.0,245360480,137000000,Drama,2003,6,19,5.6,PG-13,108360480
G.I. Joe: Retaliation,2013-03-26,en,110.0,371876278,130000000,Adventure,2013,3,26,5.8,PG-13,241876278
Sahara,2005-04-06,en,124.0,119269486,130000000,Action,2005,4,6,6.0,PG-13,-10730514
Final Fantasy: The Spirits Within,2001-07-02,en,106.0,85131830,137000000,Adventure,2001,7,2,6.4,PG-13,-51868170
Captain America: The First Avenger,2011-07-22,en,124.0,370569774,140000000,Action,2011,7,22,6.9,PG-13,230569774
The World Is Not Enough,1999-11-08,en,128.0,361832400,135000000,Adventure,1999,11,8,6.4,PG-13,226832400
Master and Commander: The Far Side of the World,2003-11-14,en,138.0,212011111,150000000,Adventure,2003,11,14,7.4,PG-13,62011111
The Twilight Saga: Breaking Dawn - Part 2,2012-11-13,en,115.0,829000000,120000000,Adventure,2012,11,13,5.5,PG-13,709000000
Happy Feet Two,2011-11-17,en,100.0,150406466,130000000,Animation,2011,11,17,5.9,PG,20406466
The Incredible Hulk,2008-06-12,en,114.0,163712074,150000000,Science,2008,6,12,6.7,PG-13,13712074
The BFG,2016-06-01,en,120.0,183345589,140000000,Adventure,2016,6,1,6.4,PG,43345589
The Revenant,2015-12-25,en,156.0,532950503,135000000,Western,2015,12,25,8.0,R,397950503
Turbo,2013-07-11,en,96.0,282570682,135000000,Animation,2013,7,11,6.4,PG,147570682
Rango,2011-03-02,en,107.0,245724603,135000000,Animation,2011,3,2,7.2,PG,110724603
Penguins of Madagascar,2014-11-22,en,92.0,373552094,132000000,Family,2014,11,22,6.7,PG,241552094
The Bourne Ultimatum,2007-08-03,en,115.0,442824138,70000000,Action,2007,8,3,8.0,PG-13,372824138
Kung Fu Panda,2008-06-04,en,90.0,631744560,130000000,Adventure,2008,6,4,7.5,PG,501744560
Ant-Man,2015-07-14,en,117.0,519311965,130000000,Science,2015,7,14,7.3,PG-13,389311965
The Hunger Games: Catching Fire,2013-11-15,en,146.0,847423452,130000000,Adventure,2013,11,15,7.5,PG-13,717423452
Home,2015-03-18,en,94.0,368871007,135000000,Fantasy,2015,3,18,6.6,PG,233871007
War of the Worlds,2005-06-28,en,116.0,591739379,132000000,Adventure,2005,6,28,6.5,PG-13,459739379
Bad Boys II,2003-07-18,en,147.0,273339556,130000000,Adventure,2003,7,18,6.6,R,143339556
Puss in Boots,2011-10-28,en,90.0,554987477,130000000,Action,2011,10,28,6.6,PG,424987477
Salt,2010-07-21,en,100.0,293329073,110000000,Action,2010,7,21,6.4,PG-13,183329073
Noah,2014-03-20,en,139.0,362637473,125000000,Drama,2014,3,20,5.7,PG-13,237637473
The Adventures of Tintin,2011-10-25,en,107.0,371940071,130000000,Adventure,2011,10,25,7.3,PG,241940071
Harry Potter and the Prisoner of Azkaban,2004-05-31,en,141.0,789804554,130000000,Adventure,2004,5,31,7.9,PG,659804554
Australia,2008-11-18,en,165.0,49554002,130000000,Drama,2008,11,18,6.6,PG-13,-80445998
After Earth,2013-05-30,en,100.0,243843127,130000000,Science,2013,5,30,4.8,PG-13,113843127
Dinosaur,2000-05-19,en,82.0,354248063,127500000,Animation,2000,5,19,6.5,PG,226748063
Night at the Museum: Secret of the Tomb,2014-12-17,en,97.0,349424282,127000000,Adventure,2014,12,17,6.2,PG,222424282
Megamind,2010-10-28,en,95.0,321887208,130000000,Animation,2010,10,28,7.2,PG,191887208
Harry Potter and the Philosopher's Stone,2001-11-16,en,152.0,976475550,125000000,Adventure,2001,11,16,No Rating,No Rating,851475550
R.I.P.D.,2013-07-18,en,96.0,61648500,130000000,Fantasy,2013,7,18,5.6,PG-13,-68351500
Pirates of the Caribbean: The Curse of the Black Pearl,2003-07-09,en,143.0,655011224,140000000,Adventure,2003,7,9,8.0,PG-13,515011224
The Hunger Games: Mockingjay - Part 1,2014-11-18,en,123.0,752100229,125000000,Science,2014,11,18,6.6,PG-13,627100229
The Da Vinci Code,2006-05-17,en,149.0,767820459,125000000,Thriller,2006,5,17,6.6,PG-13,642820459
Rio 2,2014-03-19,en,102.0,500188435,103000000,Animation,2014,3,19,6.3,G,397188435
X2,2003-04-24,en,133.0,407711549,110000000,Adventure,2003,4,24,7.4,PG-13,297711549
Fast Five,2011-04-20,en,130.0,626137675,125000000,Action,2011,4,20,7.3,PG-13,501137675
Sherlock Holmes: A Game of Shadows,2011-11-22,en,129.0,334615000,125000000,Adventure,2011,11,22,7.5,PG-13,209615000
Clash of the Titans,2010-04-01,en,106.0,232713139,125000000,Adventure,2010,4,1,5.8,PG-13,107713139
Total Recall,1990-06-01,en,113.0,261317921,65000000,Action,1990,6,1,7.5,R,196317921
The 13th Warrior,1999-08-27,en,102.0,61698899,160000000,Adventure,1999,8,27,6.6,R,-98301101
The Bourne Legacy,2012-08-08,en,120.0,276572938,130000000,Action,2012,8,8,6.7,PG-13,146572938
Batman & Robin,1997-06-20,en,125.0,238207122,125000000,Action,1997,6,20,7.5,PG-13,113207122
How the Grinch Stole Christmas,2000-11-17,en,104.0,345141403,123000000,Family,2000,11,17,6.2,PG,222141403
The Day After Tomorrow,2004-05-26,en,124.0,544272402,125000000,Action,2004,5,26,6.4,PG-13,419272402
Mission: Impossible II,2000-05-24,en,123.0,546388105,125000000,Adventure,2000,5,24,6.1,PG-13,421388105
The Perfect Storm,2000-03-15,en,130.0,325756637,120000000,Drama,2000,3,15,6.4,PG-13,205756637
4: Rise of the Silver Surfer,2007-06-13,en,92.0,289047763,130000000,Adventure,2007,6,13,5.6,PG,159047763
Life of Pi,2012-11-20,en,127.0,609016565,120000000,Adventure,2012,11,20,7.9,PG,489016565
Ghost Rider,2007-02-16,en,114.0,228738393,110000000,Thriller,2007,2,16,5.2,PG-13,118738393
Jason Bourne,2016-07-27,en,123.0,415484914,120000000,Action,2016,7,27,6.6,PG-13,295484914
Charlie's Angels: Full Throttle,2003-06-27,en,106.0,259175788,120000000,Action,2003,6,27,4.9,PG-13,139175788
Prometheus,2012-05-30,en,124.0,403170142,130000000,Science,2012,5,30,7.0,R,273170142
Stuart Little 2,2002-07-19,en,78.0,169956806,120000000,Family,2002,7,19,5.5,PG,49956806
Elysium,2013-08-07,en,109.0,286140700,115000000,Science,2013,8,7,6.6,R,171140700
The Chronicles of Riddick,2004-06-11,en,119.0,115772733,105000000,Action,2004,6,11,6.7,R,10772733
RoboCop,2014-01-30,en,102.0,242688965,120000000,Action,2014,1,30,7.5,R,122688965
Speed Racer,2008-05-09,en,135.0,93945766,120000000,Action,2008,5,9,6.0,PG,-26054234
How Do You Know,2010-12-17,en,121.0,48668907,120000000,Comedy,2010,12,17,5.4,PG-13,-71331093
Knight and Day,2010-06-15,en,109.0,261930431,117000000,Action,2010,6,15,6.3,PG-13,144930431
Oblivion,2013-04-10,en,124.0,286168572,120000000,Action,2013,4,10,7.0,PG-13,166168572
Star Wars: Episode III - Revenge of the Sith,2005-05-17,en,140.0,850000000,113000000,Science,2005,5,17,7.5,PG-13,737000000
Star Wars: Episode II - Attack of the Clones,2002-05-15,en,142.0,649398328,120000000,Adventure,2002,5,15,6.5,PG,529398328
"Monsters, Inc.",2001-11-01,en,92.0,562816256,115000000,Animation,2001,11,1,8.0,G,447816256
The Wolverine,2013-07-23,en,126.0,415440673,120000000,Action,2013,7,23,6.7,PG-13,295440673
Star Wars: Episode I - The Phantom Menace,1999-05-19,en,136.0,924317558,115000000,Adventure,1999,5,19,6.5,PG,809317558
The Croods,2013-03-20,en,98.0,585178928,135000000,Adventure,2013,3,20,7.2,PG,450178928
Astérix aux Jeux Olympiques,2008-01-13,fr,116.0,132900000,97250400,Fantasy,2008,1,13,No Rating,No Rating,35649600
Windtalkers,2002-06-14,en,134.0,77628265,115000000,Drama,2002,6,14,6.1,R,-37371735
The Huntsman: Winter's War,2016-04-06,en,114.0,164602163,115000000,Action,2016,4,6,6.1,PG-13,49602163
Teenage Mutant Ninja Turtles,2014-08-07,en,101.0,477200000,125000000,Science,2014,8,7,5.8,PG-13,352200000
Gravity,2013-09-27,en,91.0,716392705,105000000,Science,2013,9,27,7.7,PG-13,611392705
Dante's Peak,1997-02-07,en,108.0,178127760,116000000,Action,1997,2,7,5.9,PG-13,62127760
Teenage Mutant Ninja Turtles: Out of the Shadows,2016-06-01,en,112.0,245623848,135000000,Fantasy,2016,6,1,6.0,PG-13,110623848
Fantastic Four,2015-08-05,en,100.0,167977596,120000000,Action,2015,8,5,5.7,PG-13,47977596
Night at the Museum,2006-10-20,en,108.0,574480841,110000000,Action,2006,10,20,6.4,PG,464480841
San Andreas,2015-05-27,en,114.0,470490832,110000000,Action,2015,5,27,6.0,PG-13,360490832
Tomorrow Never Dies,1997-12-11,en,119.0,333011068,110000000,Adventure,1997,12,11,6.5,PG-13,223011068
The Patriot,2000-06-28,en,165.0,215294342,110000000,Drama,2000,6,28,7.2,R,105294342
Ocean's Twelve,2004-12-09,en,125.0,362744280,110000000,Thriller,2004,12,9,6.5,PG-13,252744280
Mr. & Mrs. Smith,2005-06-07,en,120.0,478207520,110000000,Action,2005,6,7,6.5,PG-13,368207520
Insurgent,2015-03-18,en,119.0,295238201,110000000,Adventure,2015,3,18,6.2,PG-13,185238201
The Aviator,2004-12-17,en,170.0,102000000,116000000,Drama,2004,12,17,7.5,PG-13,-14000000
Gulliver's Travels,2010-12-25,en,85.0,237382724,112000000,Comedy,2010,12,25,4.9,PG,125382724
The Green Hornet,2011-01-12,en,119.0,227817248,120000000,Action,2011,1,12,5.8,PG-13,107817248
300: Rise of an Empire,2014-03-05,en,102.0,337580051,110000000,Action,2014,3,5,6.2,R,227580051
The Smurfs,2011-07-29,en,103.0,563749323,110000000,Animation,2011,7,29,5.4,PG,453749323
Home on the Range,2004-04-02,en,76.0,103951461,110000000,Animation,2004,4,2,5.4,PG,-6048539
Allegiant,2016-03-09,en,121.0,179246868,110000000,Adventure,2016,3,9,5.7,PG-13,69246868
